序号,本地ID,中文名称,上游类型,运行分类,可装备,占装备槽,基础装备ID,合成组件ID,图标相对路径,声明SHA256,本地SHA256,交接三方一致,重复簇大小,重复IDs,重复Names,字节,宽,高,图像来源URL,来源页面URL,来源总表修订,远程HTTP,远程SHA256,远程=本地,尺寸一致,单页来源状态,页面标题,视觉联系表,视觉格位,视觉复核,图标身份结论,来源层级,冲突/边界,核对结果
51,currency_wars_equipment_053,动能激发剑,进阶装备,advanced,是,是,,currency_wars_equipment_040；currency_wars_equipment_044,assets/currency_wars_equipment_icons/currency_wars_equipment_053.png,359b80002377cf9ecec3020db298d7dd3210dd5a6041da94304099da2f042d58,359b80002377cf9ecec3020db298d7dd3210dd5a6041da94304099da2f042d58,true,2,053；092,动能激发剑；动能激发剑•特权,29689,128,128,https://patchwiki.biligame.com/images/sr/4/4e/pfnwa5i7hlxk6ziktp34zphh6s7h757.png,https://wiki.biligame.com/sr/%E5%8A%A8%E8%83%BD%E6%BF%80%E5%8F%91%E5%89%91,99085,200,359b80002377cf9ecec3020db298d7dd3210dd5a6041da94304099da2f042d58,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第3行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
52,currency_wars_equipment_054,反卫星狙击枪,进阶装备,advanced,是,是,,currency_wars_equipment_043；currency_wars_equipment_042,assets/currency_wars_equipment_icons/currency_wars_equipment_054.png,d56460779d29bc6f8e2169276f523f28c6e341ce95aa0905c903bd5e8cf415f5,d56460779d29bc6f8e2169276f523f28c6e341ce95aa0905c903bd5e8cf415f5,true,2,054；093,反卫星狙击枪；反卫星狙击枪•特权,32182,128,128,https://patchwiki.biligame.com/images/sr/7/7f/ih4obknjsrxnsotbtbgko1mtl6jtg6v.png,https://wiki.biligame.com/sr/%E5%8F%8D%E5%8D%AB%E6%98%9F%E7%8B%99%E5%87%BB%E6%9E%AA,99085,200,d56460779d29bc6f8e2169276f523f28c6e341ce95aa0905c903bd5e8cf415f5,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第3行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
53,currency_wars_equipment_055,反重力皮靴,进阶装备,advanced,是,是,,currency_wars_equipment_046；currency_wars_equipment_046,assets/currency_wars_equipment_icons/currency_wars_equipment_055.png,4ed72ae50d0fe4badc8ed4aa14681ede39657bbc080e4bc89bc2d18d90f145a3,4ed72ae50d0fe4badc8ed4aa14681ede39657bbc080e4bc89bc2d18d90f145a3,true,2,055；094,反重力皮靴；反重力皮靴•特权,27496,128,128,https://patchwiki.biligame.com/images/sr/2/27/cvbi5e5z4thqgs311yf2j5ln6m5p89m.png,https://wiki.biligame.com/sr/%E5%8F%8D%E9%87%8D%E5%8A%9B%E7%9A%AE%E9%9D%B4,99085,200,4ed72ae50d0fe4badc8ed4aa14681ede39657bbc080e4bc89bc2d18d90f145a3,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第3行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
54,currency_wars_equipment_056,天基轨道炮,进阶装备,advanced,是,是,,currency_wars_equipment_042；currency_wars_equipment_042,assets/currency_wars_equipment_icons/currency_wars_equipment_056.png,99b3abc3f7a8173db5accad10cbc62cf4dce5ea3fec2ed23e2d5f8f57c3ec898,99b3abc3f7a8173db5accad10cbc62cf4dce5ea3fec2ed23e2d5f8f57c3ec898,true,2,056；095,天基轨道炮；天基轨道炮•特权,36000,128,128,https://patchwiki.biligame.com/images/sr/6/65/qv6dvngy31xn8r2eorix1rfc0uu5k4z.png,https://wiki.biligame.com/sr/%E5%A4%A9%E5%9F%BA%E8%BD%A8%E9%81%93%E7%82%AE,99085,200,99b3abc3f7a8173db5accad10cbc62cf4dce5ea3fec2ed23e2d5f8f57c3ec898,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第3行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
55,currency_wars_equipment_057,很硬的甲,进阶装备,advanced,是,是,,currency_wars_equipment_047；currency_wars_equipment_047,assets/currency_wars_equipment_icons/currency_wars_equipment_057.png,fe7118a0d80b31261cc4d653850bc491820b4c1be3ba1dedf59a73cdf8eb8618,fe7118a0d80b31261cc4d653850bc491820b4c1be3ba1dedf59a73cdf8eb8618,true,2,057；096,很硬的甲；很硬的甲•特权,29210,128,128,https://patchwiki.biligame.com/images/sr/0/02/mefj3fu8vx0ri4eb0c103cor4it683j.png,https://wiki.biligame.com/sr/%E5%BE%88%E7%A1%AC%E7%9A%84%E7%94%B2,99085,200,fe7118a0d80b31261cc4d653850bc491820b4c1be3ba1dedf59a73cdf8eb8618,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第3行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
56,currency_wars_equipment_058,战场进化手册,进阶装备,advanced,是,是,,currency_wars_equipment_041；currency_wars_equipment_044,assets/currency_wars_equipment_icons/currency_wars_equipment_058.png,ceb9c15bd35a9524343fec674b485fc4c2695d6bc659a7a2ec311d65e9c4e78e,ceb9c15bd35a9524343fec674b485fc4c2695d6bc659a7a2ec311d65e9c4e78e,true,2,058；097,战场进化手册；战场进化手册•特权,32644,128,128,https://patchwiki.biligame.com/images/sr/9/9c/0unwdntnbtfeibmr78936k53mwugz26.png,https://wiki.biligame.com/sr/%E6%88%98%E5%9C%BA%E8%BF%9B%E5%8C%96%E6%89%8B%E5%86%8C,99085,200,ceb9c15bd35a9524343fec674b485fc4c2695d6bc659a7a2ec311d65e9c4e78e,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第4行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
57,currency_wars_equipment_059,掩体生成枪,进阶装备,advanced,是,是,,currency_wars_equipment_045；currency_wars_equipment_042,assets/currency_wars_equipment_icons/currency_wars_equipment_059.png,141d508a6fdef1b32355695aae4ce660ce2ab31ddd97f7a353192992fc7b6c83,141d508a6fdef1b32355695aae4ce660ce2ab31ddd97f7a353192992fc7b6c83,true,2,059；098,掩体生成枪；掩体生成枪•特权,31931,128,128,https://patchwiki.biligame.com/images/sr/3/31/tt9chl4txl7z29941avj88i1yoedelf.png,https://wiki.biligame.com/sr/%E6%8E%A9%E4%BD%93%E7%94%9F%E6%88%90%E6%9E%AA,99085,200,141d508a6fdef1b32355695aae4ce660ce2ab31ddd97f7a353192992fc7b6c83,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第4行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
58,currency_wars_equipment_060,斩首行动,进阶装备,advanced,是,是,,currency_wars_equipment_040；currency_wars_equipment_042,assets/currency_wars_equipment_icons/currency_wars_equipment_060.png,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,true,4,060；099；144；147,斩首行动；斩首行动•特权；极•白昼•斩首行动；白昼•斩首行动,31190,128,128,https://patchwiki.biligame.com/images/sr/3/36/pz3qe0xci2okxgu51qyp9zur7ejpert.png,https://wiki.biligame.com/sr/%E6%96%A9%E9%A6%96%E8%A1%8C%E5%8A%A8,99085,200,b0adf69dddd5d0a23fdd0fea212c0b83a830ed01a268fbdddcc3f9825bfbc7a5,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第4行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
59,currency_wars_equipment_061,杀红眼,进阶装备,advanced,是,是,,currency_wars_equipment_045；currency_wars_equipment_044,assets/currency_wars_equipment_icons/currency_wars_equipment_061.png,f521d20bc46c8e46893fa4ebed01e15fdc6732e627607eaaf062680cad852b7b,f521d20bc46c8e46893fa4ebed01e15fdc6732e627607eaaf062680cad852b7b,true,2,061；100,杀红眼；杀红眼•特权,29300,128,128,https://patchwiki.biligame.com/images/sr/9/9d/c8u8zqx3igju3acfb4lw5inlon0t9rq.png,https://wiki.biligame.com/sr/%E6%9D%80%E7%BA%A2%E7%9C%BC,99085,200,f521d20bc46c8e46893fa4ebed01e15fdc6732e627607eaaf062680cad852b7b,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第4行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
60,currency_wars_equipment_062,步步生花,进阶装备,advanced,是,是,,currency_wars_equipment_045；currency_wars_equipment_046,assets/currency_wars_equipment_icons/currency_wars_equipment_062.png,4c8eae7c74f190fa5c1fd125f6edcf48bf821f2363f91e4ab6774e0fbb20b8b7,4c8eae7c74f190fa5c1fd125f6edcf48bf821f2363f91e4ab6774e0fbb20b8b7,true,2,062；101,步步生花；步步生花•特权,31263,128,128,https://patchwiki.biligame.com/images/sr/a/a6/tp9rcxq8umu91bel9q1dgy0h5any5f3.png,https://wiki.biligame.com/sr/%E6%AD%A5%E6%AD%A5%E7%94%9F%E8%8A%B1,99085,200,4c8eae7c74f190fa5c1fd125f6edcf48bf821f2363f91e4ab6774e0fbb20b8b7,true,true,HTTP 567（限流/反爬）,,equipment-contact-03.png,第4行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
61,currency_wars_equipment_063,武器大师,进阶装备,advanced,是,是,,currency_wars_equipment_042；currency_wars_equipment_044,assets/currency_wars_equipment_icons/currency_wars_equipment_063.png,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,true,4,063；102；145；148,武器大师；武器大师•特权；极•白昼•武器大师；白昼•武器大师,34524,128,128,https://patchwiki.biligame.com/images/sr/4/48/hgt31ij3fy4x37nmhmuads1kd3ffaw1.png,https://wiki.biligame.com/sr/%E6%AD%A6%E5%99%A8%E5%A4%A7%E5%B8%88,99085,200,93348c2a315f9c98e8161bda98add1b8f30ca312fd1ca69d1b26d466f4dfcc06,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第1行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
62,currency_wars_equipment_064,永动机,进阶装备,advanced,是,是,,currency_wars_equipment_041；currency_wars_equipment_041,assets/currency_wars_equipment_icons/currency_wars_equipment_064.png,20f77f28e219c512cc588f109f488b5ea091da115a8a98ad2968abfc39b6ea7e,20f77f28e219c512cc588f109f488b5ea091da115a8a98ad2968abfc39b6ea7e,true,2,064；103,永动机；永动机•特权,32428,128,128,https://patchwiki.biligame.com/images/sr/8/85/q757o4d9skctjwjsmnow7zsyexw5le2.png,https://wiki.biligame.com/sr/%E6%B0%B8%E5%8A%A8%E6%9C%BA,99085,200,20f77f28e219c512cc588f109f488b5ea091da115a8a98ad2968abfc39b6ea7e,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第1行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
63,currency_wars_equipment_065,流星飞翼,进阶装备,advanced,是,是,,currency_wars_equipment_047；currency_wars_equipment_046,assets/currency_wars_equipment_icons/currency_wars_equipment_065.png,563ed7f4a54407f1b8ee88e837789e264cb59f4cb17de0460115d5f747796d4b,563ed7f4a54407f1b8ee88e837789e264cb59f4cb17de0460115d5f747796d4b,true,2,065；104,流星飞翼；流星飞翼•特权,29579,128,128,https://patchwiki.biligame.com/images/sr/c/c4/alrn3tliluloz3vgqjrk499cd0w0da2.png,https://wiki.biligame.com/sr/%E6%B5%81%E6%98%9F%E9%A3%9E%E7%BF%BC,99085,200,563ed7f4a54407f1b8ee88e837789e264cb59f4cb17de0460115d5f747796d4b,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第1行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
64,currency_wars_equipment_066,火力风暴潮,进阶装备,advanced,是,是,,currency_wars_equipment_044；currency_wars_equipment_046,assets/currency_wars_equipment_icons/currency_wars_equipment_066.png,3f53c178daa9ce82877b9e7bf4d39f0dcac781e269e892b800f0551c68d6f548,3f53c178daa9ce82877b9e7bf4d39f0dcac781e269e892b800f0551c68d6f548,true,2,066；105,火力风暴潮；火力风暴潮•特权,26355,128,128,https://patchwiki.biligame.com/images/sr/e/ec/procmtsk0qooo58ce92in7h1z2v9tv0.png,https://wiki.biligame.com/sr/%E7%81%AB%E5%8A%9B%E9%A3%8E%E6%9A%B4%E6%BD%AE,99085,200,3f53c178daa9ce82877b9e7bf4d39f0dcac781e269e892b800f0551c68d6f548,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第1行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
65,currency_wars_equipment_067,热血沸腾拳,进阶装备,advanced,是,是,,currency_wars_equipment_045；currency_wars_equipment_043,assets/currency_wars_equipment_icons/currency_wars_equipment_067.png,111a5d051a9c8ceea2486d22098c6f919130418e525d151f6098ce9fa1625389,111a5d051a9c8ceea2486d22098c6f919130418e525d151f6098ce9fa1625389,true,2,067；106,热血沸腾拳；热血沸腾拳•特权,32281,128,128,https://patchwiki.biligame.com/images/sr/3/38/t7w5i6ofsl91u1vognn688cpmp6ubi3.png,https://wiki.biligame.com/sr/%E7%83%AD%E8%A1%80%E6%B2%B8%E8%85%BE%E6%8B%B3,99085,200,111a5d051a9c8ceea2486d22098c6f919130418e525d151f6098ce9fa1625389,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第1行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
66,currency_wars_equipment_068,物质分解液,进阶装备,advanced,是,是,,currency_wars_equipment_040；currency_wars_equipment_045,assets/currency_wars_equipment_icons/currency_wars_equipment_068.png,4204a0b84679223ecf29a6ca036e6aa95957cf6cd33512c64e55e6ae576dbb2e,4204a0b84679223ecf29a6ca036e6aa95957cf6cd33512c64e55e6ae576dbb2e,true,2,068；107,物质分解液；物质分解液•特权,25438,128,128,https://patchwiki.biligame.com/images/sr/2/2e/owez3qwb6fk9kcaoslr3tz116fhqblr.png,https://wiki.biligame.com/sr/%E7%89%A9%E8%B4%A8%E5%88%86%E8%A7%A3%E6%B6%B2,99085,200,4204a0b84679223ecf29a6ca036e6aa95957cf6cd33512c64e55e6ae576dbb2e,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第2行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
67,currency_wars_equipment_069,生命之环,进阶装备,advanced,是,是,,currency_wars_equipment_045；currency_wars_equipment_045,assets/currency_wars_equipment_icons/currency_wars_equipment_069.png,f61a5944c98c2e3d9db314585345c0e673df145de7ce9ba27cea447c8d9d2220,f61a5944c98c2e3d9db314585345c0e673df145de7ce9ba27cea447c8d9d2220,true,2,069；108,生命之环；生命之环•特权,33094,128,128,https://patchwiki.biligame.com/images/sr/a/a6/r6bi8e7h04qglgienze9g5nbz625m97.png,https://wiki.biligame.com/sr/%E7%94%9F%E5%91%BD%E4%B9%8B%E7%8E%AF,99085,200,f61a5944c98c2e3d9db314585345c0e673df145de7ce9ba27cea447c8d9d2220,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第2行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
68,currency_wars_equipment_070,电光履,进阶装备,advanced,是,是,,currency_wars_equipment_041；currency_wars_equipment_046,assets/currency_wars_equipment_icons/currency_wars_equipment_070.png,88a4334ec2c83711532325576281581f338b1b709b968407b0c90458cf2b63b8,88a4334ec2c83711532325576281581f338b1b709b968407b0c90458cf2b63b8,true,2,070；109,电光履；电光履•特权,29134,128,128,https://patchwiki.biligame.com/images/sr/0/0c/kwytpntq59eppt02fspkrfkxg0zt8h8.png,https://wiki.biligame.com/sr/%E7%94%B5%E5%85%89%E5%B1%A5,99085,200,88a4334ec2c83711532325576281581f338b1b709b968407b0c90458cf2b63b8,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第2行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
69,currency_wars_equipment_071,电磁弹射器,进阶装备,advanced,是,是,,currency_wars_equipment_042；currency_wars_equipment_046,assets/currency_wars_equipment_icons/currency_wars_equipment_071.png,4a5f98d5703c2f8ec46dd348a41161178ef6976ea790711cc3bef4331708ec47,4a5f98d5703c2f8ec46dd348a41161178ef6976ea790711cc3bef4331708ec47,true,2,071；110,电磁弹射器；电磁弹射器•特权,32555,128,128,https://patchwiki.biligame.com/images/sr/7/70/ok0fy6uy98drftzv20o7k5djfhbshnv.png,https://wiki.biligame.com/sr/%E7%94%B5%E7%A3%81%E5%BC%B9%E5%B0%84%E5%99%A8,99085,200,4a5f98d5703c2f8ec46dd348a41161178ef6976ea790711cc3bef4331708ec47,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第2行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
70,currency_wars_equipment_072,痛觉阻断芯片,进阶装备,advanced,是,是,,currency_wars_equipment_047；currency_wars_equipment_045,assets/currency_wars_equipment_icons/currency_wars_equipment_072.png,0e381740b644f074d8d57a640343a5197bba7c3469149f96c7d6bae8ea2d124b,0e381740b644f074d8d57a640343a5197bba7c3469149f96c7d6bae8ea2d124b,true,2,072；111,痛觉阻断芯片；痛觉阻断芯片•特权,29438,128,128,https://patchwiki.biligame.com/images/sr/7/71/6549yh6pqolczbqqxp02vqdjmzfs7ke.png,https://wiki.biligame.com/sr/%E7%97%9B%E8%A7%89%E9%98%BB%E6%96%AD%E8%8A%AF%E7%89%87,99085,200,0e381740b644f074d8d57a640343a5197bba7c3469149f96c7d6bae8ea2d124b,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第2行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
71,currency_wars_equipment_073,碎星斩舰刀,进阶装备,advanced,是,是,,currency_wars_equipment_044；currency_wars_equipment_044,assets/currency_wars_equipment_icons/currency_wars_equipment_073.png,bc53b2f878f643ce96519b04075f5e3d9301249e8c703dbeafc2c83098710fea,bc53b2f878f643ce96519b04075f5e3d9301249e8c703dbeafc2c83098710fea,true,2,073；112,碎星斩舰刀；碎星斩舰刀•特权,31837,128,128,https://patchwiki.biligame.com/images/sr/1/11/4tp5deflxs90qowulzea1284u7y5xj7.png,https://wiki.biligame.com/sr/%E7%A2%8E%E6%98%9F%E6%96%A9%E8%88%B0%E5%88%80,99085,200,bc53b2f878f643ce96519b04075f5e3d9301249e8c703dbeafc2c83098710fea,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第3行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
72,currency_wars_equipment_074,绝对热量,进阶装备,advanced,是,是,,currency_wars_equipment_041；currency_wars_equipment_045,assets/currency_wars_equipment_icons/currency_wars_equipment_074.png,b7715ddb5c9dea4d24897d8f80a1c790c272ce6cbfa1ab336a6078c379b610d2,b7715ddb5c9dea4d24897d8f80a1c790c272ce6cbfa1ab336a6078c379b610d2,true,2,074；113,绝对热量；绝对热量•特权,30024,128,128,https://patchwiki.biligame.com/images/sr/5/58/44folvfa971o8gov65thbnxgum3u1f2.png,https://wiki.biligame.com/sr/%E7%BB%9D%E5%AF%B9%E7%83%AD%E9%87%8F,99085,200,b7715ddb5c9dea4d24897d8f80a1c790c272ce6cbfa1ab336a6078c379b610d2,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第3行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
73,currency_wars_equipment_075,胜利之旗,进阶装备,advanced,是,是,,currency_wars_equipment_040；currency_wars_equipment_043,assets/currency_wars_equipment_icons/currency_wars_equipment_075.png,a7992e1a9bc95462f233d13ad4619571c80b69e62ddca7f14275f4abd006ea90,a7992e1a9bc95462f233d13ad4619571c80b69e62ddca7f14275f4abd006ea90,true,2,075；114,胜利之旗；胜利之旗•特权,25775,128,128,https://patchwiki.biligame.com/images/sr/3/31/535v3d7kzwbgfxudq0forup9v3chxok.png,https://wiki.biligame.com/sr/%E8%83%9C%E5%88%A9%E4%B9%8B%E6%97%97,99085,200,a7992e1a9bc95462f233d13ad4619571c80b69e62ddca7f14275f4abd006ea90,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第3行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
74,currency_wars_equipment_076,自适应外骨骼,进阶装备,advanced,是,是,,currency_wars_equipment_047；currency_wars_equipment_042,assets/currency_wars_equipment_icons/currency_wars_equipment_076.png,4f0536a5df57dbb1fd94fa4688a2da232f7e20347f9810ad0d3633404917eaac,4f0536a5df57dbb1fd94fa4688a2da232f7e20347f9810ad0d3633404917eaac,true,2,076；115,自适应外骨骼；自适应外骨骼•特权,34365,128,128,https://patchwiki.biligame.com/images/sr/e/e7/es524rclnsrht795b56rnt1nfxkvjln.png,https://wiki.biligame.com/sr/%E8%87%AA%E9%80%82%E5%BA%94%E5%A4%96%E9%AA%A8%E9%AA%BC,99085,200,4f0536a5df57dbb1fd94fa4688a2da232f7e20347f9810ad0d3633404917eaac,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第3行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
75,currency_wars_equipment_077,蓄能帆,进阶装备,advanced,是,是,,currency_wars_equipment_041；currency_wars_equipment_042,assets/currency_wars_equipment_icons/currency_wars_equipment_077.png,33121ab041df3a0573fb638f4687c2dabd116e0ba6f4ae08d6a0839d25affe9c,33121ab041df3a0573fb638f4687c2dabd116e0ba6f4ae08d6a0839d25affe9c,true,2,077；116,蓄能帆；蓄能帆•特权,34741,128,128,https://patchwiki.biligame.com/images/sr/3/31/50olq8xte3l0aeuagqh7l3gcu0hmjm6.png,https://wiki.biligame.com/sr/%E8%93%84%E8%83%BD%E5%B8%86,99085,200,33121ab041df3a0573fb638f4687c2dabd116e0ba6f4ae08d6a0839d25affe9c,true,true,HTTP 567（限流/反爬）,,equipment-contact-04.png,第3行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
